"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"67",7462,16006978,0,0,321,0,0,0,0,0.443925233459176,0,0.0395171337781294,0,15706.56586898,5,0.005324864,0.00989568839126326,0.935670335942857,"(0,0.1]"
"68",7523,16010245,0,0,379,0,0,0,0,0.30551181244725,0,0.251230967893532,0,16745.5574543148,5,0.004713476,0.00637780514515526,0.4097041772,"(0,0.1]"
"69",7658,16013293,0,0,5163,0,0,0,0,0.0710724639129523,0,0.0907555555159919,0.00222879230112269,240984.59492136,7,-0.001561193,0.0242392703746718,1.77994543068571,"(-0.1,0]"
"70",8418,16032232,17,1,13457,0,0,0.0631735462735447,0.00764350149980945,0.108601113368164,0.0411887402437951,0.370741966635486,0.0103227459046305,626116.000219061,8,0.005235511,0.000807170302189612,1.6889588796,"(0,0.1]"
"71",8425,17000001,1598,14,67161,210004.6,5204.6,2.02155531371136,0.433051906577504,0.744271096990216,1.09039272848093,0.435169395617603,0.155691787687724,3067598.81900395,8,0.0006400216,0.0000428506264118929,0.400134194457143,"(0,0.1]"
"72",8523,17023784,2,0,219,0,0,0,0,2.65159817863273,0,0.43654337681864,0.023493150189587,10882.6098034986,4,0.009408635,0.00000242694433183452,1.32101139502857,"(0,0.1]"
"73",8676,18001160,0,0,633,0,0,0,0,0.0189573461951991,0,0.777889417375528,0.00511690357473413,28329.6945202144,6,-0.003712744,0.0000909102380969151,1.56538555842857,"(-0.1,0]"
"74",8712,18001606,30,2,1285,330,330,1.07928140664379,1.20386192283742,0.224202335767941,0.621167229302758,0.880585993339348,0.25019143918377,58333.5091941659,6,-0.001439655,0.0083212096678155,1.09179218685714,"(-0.1,0]"
"75",8713,18001610,0,0,412,0,0,0,0,0.0194174760355822,0,0.734750001067386,0,18612.8930689491,5,-0.002778781,0.0000803673722991909,0.682506213828571,"(-0.1,0]"
"76",8794,18003479,18,1,306,25,25,2.55206412778747,0.274778382287871,0.0141935485985971,2.14393238060529,0.84943870596828,0.00544516126955709,12635.4866658542,5,-0.002889217,0.0176963560701568,0.925982641571429,"(-0.1,0]"
"77",8832,18006238,0,0,323,0,0,0,0,0.0359133133439825,0,0.601399377495881,0,12947.0451816157,5,-0.0008825775,0.0117303045456346,0.510516528257143,"(-0.1,0]"
"78",9013,28046777,1728,70,32365,22365,146,3.34261986691199,1.71118233517149,0.675673674843451,2.30158695367707,0.453700836469497,0.490826344366185,1441988.54422902,9,0.003277037,0.000000542431575788518,0.958435922474714,"(0,0.1]"
"79",9014,28052843,60,5,661,2890,0,6.18195954756303,2.54545454545455,1.56109090561217,2.48265987848206,0.771541821441867,0.78636364733631,41984.9569826408,5,-0.001012352,0.000013102494052637,0.665359093774937,"(-0.1,0]"
"80",9015,28065612,478,22,4402,21266,2426,7.9672456311156,4.31682944995379,2.50854076364625,3.90927249751976,0.761917789703391,1.01524557546377,194700.373020083,7,0.001049453,0.0117303045456346,1.39082153258886,"(0,0.1]"
"81",9017,28045509,6,0,434,0,0,0,0,1.42749999687076,0,0.053541666145126,0,20364.0652160769,5,-0.002432417,0.000070987712871104,0.659618843744375,"(-0.1,0]"
"82",9020,28063583,693,9,7659,1641.8,0,1.63510456999117,0.776894856591561,7.06945287214841,1.04145739838534,1.36017982808084,0.24349105108134,346421.975681058,7,-0.005028534,0.00637780514515526,0.646367817110081,"(-0.1,0]"
"83",9023,28067663,124,5,2024,700,700,3.86562471226889,0.243336419217057,5.79761335688925,0.718534648516921,0.651334128984937,0.324026182587292,102131.774062319,6,-0.0005929766,0.0048528248119314,1.05021989794888,"(-0.1,0]"
"84",9024,28067622,511,22,4717,21266,2426,7.98091576743628,4.18814773639439,2.8747065347146,3.86332482611777,0.759016832963441,1.06071237551248,220046.474869387,7,0.001105709,0.00531992432207359,1.37532442236857,"(0,0.1]"
"85",9025,28046905,15,0,461,0,0,0,1.08695652173913,5.70586954594954,0.360570282181029,0.367323912161848,0.054563045501709,22438.2837187571,5,-0.0007021856,0.00151168543603235,0.64302384391125,"(-0.1,0]"
