"","year","spsum","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"103",2016,380628.780442832,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"104",2017,391810.211712722,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"105",2018,404049.582925468,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"106",1984,299140.662232988,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"107",1985,291886.842865884,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"108",1986,288199.570001865,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"109",1987,286622.377525335,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"110",1988,294543.430531675,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"111",1989,297640.698722587,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"112",1990,302188.735359928,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"113",1991,299215.810642908,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"114",1992,276654.336849608,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"115",1993,295777.977035868,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"116",1994,289668.910313469,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"117",1995,288313.303375611,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"118",1996,295026.684759191,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"119",1997,277631.99203805,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"120",1998,301211.579716372,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"121",1999,298066.169272538,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"122",2000,294268.247296073,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"123",2001,280171.000529914,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"124",2002,280435.631033394,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"125",2003,272859.453214992,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"126",2004,272806.300200385,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"127",2005,278069.246888281,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"128",2006,268948.355368909,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"129",2007,281315.92993877,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"130",2008,283354.543115568,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"131",2009,274374.443453944,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"132",2010,284056.993921105,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"133",2011,287120.672419374,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"134",2012,276275.024104477,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
"135",2013,281633.786986463,"Stream Order = 5","-421","-0.15",0.0207439174201465,"0.048",2007,302188.735359928,268948.355368909,"bold"
