"","year","frac","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"208",2016,0.0406999184717584,"Stream Order = 3","0.00011","0.27",0.0000000125129362859195,"0.035",1995,0.04173165756168,0.037050568575169,"bold"
"209",2017,0.0414336459767747,"Stream Order = 3","0.00011","0.27",0.0000000125129362859195,"0.035",1995,0.04173165756168,0.037050568575169,"bold"
"210",2018,0.0401689025877139,"Stream Order = 3","0.00011","0.27",0.0000000125129362859195,"0.035",1995,0.04173165756168,0.037050568575169,"bold"
"211",1984,0.0326624142317532,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"212",1985,0.0306281570061398,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"213",1986,0.0308301679571673,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"214",1987,0.0309209117093002,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"215",1988,0.0317196798309835,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"216",1989,0.0313129436330787,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"217",1990,0.0313083423787875,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"218",1991,0.0306304354688651,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"219",1992,0.0310575903720853,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"220",1993,0.0312669295870397,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"221",1994,0.0308057520840226,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
"222",1995,0.0317430803547667,"Stream Order = 2","0.00011","0.33",0.00000000620333580404315,"0.039",1995,0.0351943360692472,0.0306281570061398,"bold"
